CATEGORIA;TÍTULO;PRECIO;HORAS
Inglés;Inglés Comercial Pre Intermedio B2;330;40
Inglés;Inglés Elemental A2;330;40
Inglés;Inglés Intermedio B1;330;40
Inglés;Inglés Básico A2;330;40
Inglés;Inglés Intermedio B1+;330;40
Inglés;Inglés Iniciación A1;330;40
Inglés;Inglés para Viajar A2;495;60
Inglés;Inglés: Lengua Extranjera Profesional para Gestion Administrativa en Rel.con el Cliente;742;90
Inglés;Inglés Pre Intermedio B1;330;40
Inglés;Ingles para Hosteleria y Turismo Elemental A2;330;40
Inglés;Inglés para Hostelería y Turismo Intermedio B1;330;40
Inglés;Inglés para Comercio;618;75
Inglés;Inglés C1;495;60
Internacionalización;Contratación Internacional;412;50
Internacionalización;El Seguro de Mercancías en Comercio Internacional;412;50
Internacionalización;Gestión Aduanera del Comercio Internacional;825;100
Marketing Online;Community Manager;330;40
Marketing Online;Mobile Marketing;412;50
Marketing Online;Redes Sociales y Marketing 2.0;495;60
Marketing Online;SEO y SEM;412;50
Marketing Online;Posicionamiento en Buscadores: SEO/SEM;495;60
Marketing Online;Seo y Posicionamiento Web 30 horas;247;30
Marketing Online;Marketing B2B: Vender con Éxito a Otras Empresas;206;25
Marketing Online;Google Analytics;247;30
Marketing Online;Social Media Marketing;412;50
Marketing Online;Marketing y Estrategia en Linkedin;536;65
Marketing Online;SEO y Posicionamiento Web;247;30
Marketing Online;Posicionamiento en Buscadores: Sumérgete en el Mundo del SEO/SEM;495;60
Marketing Online;Fundamentos de Diseño de Interfaces UI y UX;124;15
Marketing Online;Técnicas de Comunicación a Clientes/Consumidores;214;26
Marketing Online;Estrategia de Marketing Digital;412;50
Marketing Online;Análisis Básico del Comportamiento del Consumidor en el Punto de Venta;148;18
Microsoft Office;Outlook 2016;165;20
Microsoft Office;Excel 2007 Avanzado;412;50
Microsoft Office;Excel 2010 Básico;330;40
Microsoft Office;Excel 2013;495;60
Microsoft Office;PowerPoint 2016;618;75
Microsoft Office;PowerPoint 2021 básico;247;30
Microsoft Office;Microsoft 365 Empresas;288;35
Microsoft Office;Microsoft Forms: Crear Formularios y Cuestionarios;80;10
Microsoft Office;Trabajo en Equipo con Microsoft Teams;165;20
Microsoft Office;Teams;247;30
Microsoft Office;Office Microsoft 365 TOTAL;536;65
Microsoft Office;Internet al Completo;330;40
Microsoft Office;Access 2016/2019 Avanzado;288;35
Microsoft Office;Access 2016/2019 Básico;247;30
Microsoft Office;Word 2016 Avanzado;288;35
Microsoft Office;Word 2021 Avanzado;288;35
Microsoft Office;Word 2010/2013 Básico;247;30
Microsoft Office;Word 2016 Básico;247;30
Microsoft Office;Word 2021 Básico;247;30
Microsoft Office;Word: Maquetación Profesional de Proyectos;206;25
Microsoft Office;Copilot para Microsoft Office 365;330;40
Microsoft Office;Nuevos Entornos con Microsoft 365;495;60
Microsoft Office;Entornos Profesionales con Microsoft 365;742;90
Microsoft Office;Curso Integral Microsoft 365 Copilot Word PowerPoint Teams Outlook;280;34
Microsoft Office;PowerPoint 2021 avanzado;247;30
Microsoft Office;Power Automate avanzado en Cloud y Desktop con IA;330;40
Microsoft Office;Microsoft Power Platform e integración con SharePoint;371;45
Normativa;Manipulador de Alimentos;49;6
Normativa;Alergias e intolerancias alimentarias;165;20
Normativa;Prevención de Riesgos Laborales Básico B;247;30
Normativa;Prevención del Acoso Laboral por Razones de Sexo;206;25
Normativa;La Firma Electrónica y el DNI Electrónico;206;25
Normativa;Higiene Postural y Espalda Sana;82;10
Normativa;Gestión de la prevención de los riesgos laborales;495;60
Ofertas 2025;Photoshop e illustrator OFERTA;495;120
Ofertas 2025;PROMO 2x1;495;60
Ofertas 2025;Descuentos por Número de alumnos;495;10
Ofertas 2025;5 mejores clientes 2025;495;10
Planificacion;MS Project 2010;412;50
Planificacion;MS Project 2010/2013 al completo;908;110
Power Bi;Power Bi;495;60
Power Bi;RRHH Total ;495;200
Power Bi;RRHH Total + IA;742;290
Power Bi;Contabilidad Total 2026;496;60
Power Bi;Contabilidad Total + IA;742;90
Power Bi;PowerBI Total;990;120
Power Bi;Spring;495;60
Power Bi;BIM;495;60
Power Bi nivel 1;Power BI TOTAL;1485;180
Power Bi nivel 1;Power Bi Inicial;330;40
Power Bi nivel 1;Power Bi Inicial a Intermedio;742;90
Power Bi nivel 2;Microsoft Power Bi Avanzado;495;60
Power Bi nivel 2;Power BI Profesional;495;60
Power Bi nivel 2;Power BI: visualización avanzada e inteligencia artificial;123;15
Power Bi nivel 3;Power Bi Nivel 3 Experto;495;60
Procesos de negocio;Planificación y organización;206;25
Procesos de negocio;Microsoft Power Automate nivel 1;330;40
Procesos de negocio;Hootsuite;412;50
Procesos de negocio;Información y Gestión Operativa de la Compraventa Internacional;660;80
Procesos de negocio;DevOps: Agiliza tus Procesos de Negocio;248;30
Procesos de negocio;Consultor SAP MM: Gestión de Compras y Logística;288;35
Procesos de negocio;Google Formularios;123;15
Procesos de negocio;Creación y Edición de PDF con Nitro Pro;165;20
Procesos de negocio;Power Automate: Automatizacion de Procesos;165;20
